"name","neighborhood","city","year","stars"
"Kurumazushi","Manhattan","New York","2006","None"
"Kyo Ya","Manhattan","New York","2006","None"
"Lan Sheng","Manhattan","New York","2006","None"
"Laut","Manhattan","New York","2006","None"
"Lever House","Manhattan","New York","2006","1"
"Lincoln","Manhattan","New York","2006","None"
"Lo Scalco","Manhattan","New York","2006","1"
"Luksus at Torst","Brooklyn","New York","2006","None"
"M. Wells Steakhouse","Queens","New York","2006","None"
"Marc Forgione","Manhattan","New York","2006","None"
"March","Manhattan","New York","2006","1"
"Marea","Manhattan","New York","2006","None"
"Masa","Manhattan","New York","2006","2"
"Meadowsweet","Brooklyn","New York","2006","None"
"Minetta Tavern","Manhattan","New York","2006","None"
"The Modern","Manhattan","New York","2006","1"
"Momofuku Ko","Manhattan","New York","2006","None"
"The Musket Room","Manhattan","New York","2006","None"
"Nix","Manhattan","New York","2006","None"
"Nobu","Manhattan","New York","2006","1"
"The NoMad","Manhattan","New York","2006","None"
"Oceana","Manhattan","New York","2006","1"
"Per Se","Manhattan","New York","2006","3"
"Perry Street","Manhattan","New York","2006","None"
"Peter Luger Steak House","Brooklyn","New York","2006","1"
"Picholine","Manhattan","New York","2006","1"
"Piora","Manhattan","New York","2006","None"
"Pok Pok NY","Brooklyn","New York","2006","None"
"Public","Manhattan","New York","2006","None"
"Rebelle","Manhattan","New York","2006","None"
"Le Restaurant","Manhattan","New York","2006","None"
"Rhong-Tiam","Manhattan","New York","2006","None"
"The River Café","Brooklyn","New York","2006","None"
"Rosanjin","Manhattan","New York","2006","None"
"Rouge Tomate","Manhattan","New York","2006","None"
"Satsuki (restaurant)","Manhattan","New York","2006","None"
"Saul","Brooklyn","New York","2006","1"
"Scalini Fedeli","Manhattan","New York","2006","1"
"Seäsonal","Manhattan","New York","2006","None"
"Semilla","Brooklyn","New York","2006","None"
"Shalezeh","Manhattan","New York","2006","None"
"SHO Shaun Hergatt","Manhattan","New York","2006","None"
"La Sirena","Manhattan","New York","2006","None"
"Somtum Der","Manhattan","New York","2006","None"
"Soto","Manhattan","New York","2006","None"
"The Spotted Pig","Manhattan","New York","2006","1"
"Sushi Amane","Manhattan","New York","2006","None"
"Sushi Azabu","Manhattan","New York","2006","None"
"Sushi Ginza Onodera","Manhattan","New York","2006","None"
"Sushi Inoue","Manhattan","New York","2006","None"
"Sushi of Gari","Manhattan","New York","2006","None"
"Sushi Yasuda","Manhattan","New York","2006","None"
"Sushi Zo","Manhattan","New York","2006","None"
"Take Root","Brooklyn","New York","2006","None"
"Tamarind Tribeca","Manhattan","New York","2006","None"
"Telepan","Manhattan","New York","2006","None"
"Tempura Matsui","Manhattan","New York","2006","None"
"Tori Shin","Manhattan","New York","2006","None"
"Torrisi Italian Specialities","Manhattan","New York","2006","None"
"Tulsi","Manhattan","New York","2006","None"
"Uncle Boons","Manhattan","New York","2006","None"
"Ushiwakamaru","Manhattan","New York","2006","None"
"La Vara","Brooklyn","New York","2006","None"
"Veritas","Manhattan","New York","2006","1"
"Vong","Manhattan","New York","2006","1"
"Wallsé","Manhattan","New York","2006","1"
"wd~50","Manhattan","New York","2006","1"
"Zabb Elee","Queens","New York","2006","None"
"ZZ's Clam Bar","Manhattan","New York","2006","None"
"Acquerello","Nob Hill","San Francisco","2006","None"
"Adega","San Jose","San Francisco","2006","None"
"Alexander’s Steakhouse","Cupertino","San Francisco","2006","None"
"All Spice","San Mateo","San Francisco","2006","None"
"Al's Place","Mission","San Francisco","2006","None"
"Ame","SoMa","San Francisco","2006","None"
"Applewood","Guerneville","San Francisco","2006","None"
"Aster","Mission","San Francisco","2006","None"
"Atelier Crenn","Cow Hollow","San Francisco","2006","None"
"Aqua","Financial District","San Francisco","2006","None"
"Auberge du Soleil","Rutherford","San Francisco","2006","None"
"Aziza","Richmond","San Francisco","2006","None"
"Baumé","Palo Alto","San Francisco","2006","None"
"Benu","SoMa","San Francisco","2006","None"
"Bistro Jeanty","Yountville","San Francisco","2006","None"
"Bouchon","Yountville","San Francisco","2006","None"
"Boulevard","SoMa","San Francisco","2006","None"
"Bushi-Tei","Japantown","San Francisco","2006","None"
"Californios","Mission","San Francisco","2006","None"
"Campton Place","Union Square","San Francisco","2006","None"
"Chez Panisse","Berkeley","San Francisco","2006","None"
"Chez TJ","Mountain View","San Francisco","2006","None"
"Coi","North Beach","San Francisco","2006","None"
"Commis","Oakland","San Francisco","2006","None"
"Commonwealth","Mission","San Francisco","2006","None"
"Cortez","Financial District","San Francisco","2006","None"
"Cyrus","Healdsburg","San Francisco","2006","None"
"Dio Deka","Los Gatos","San Francisco","2006","None"
"Dry Creek Kitchen","Healdsburg","San Francisco","2006","None"
"El Paseo","Mill Valley","San Francisco","2006","None"
"Etoile","Yountville","San Francisco","2006","None"
"Farmhouse Inn & Restaurant","Forestville","San Francisco","2006","None"
"Fifth Floor","SoMa","San Francisco","2006","None"
"Fleur de Lys","Financial District","San Francisco","2006","None"
"Frances","Castro","San Francisco","2006","None"
"Gary Danko","North Beach","San Francisco","2006","None"
"Hashiri","SoMa","San Francisco","2006","None"
"In Situ","SoMa","San Francisco","2006","None"
"Jū-Ni","North Panhandle","San Francisco","2006","None"
"K&L Bistro","Sebastopol","San Francisco","2006","None"
"Keiko à Nob Hill","Nob Hill","San Francisco","2006","None"
"Kenzo","Napa","San Francisco","2006","None"
"Kin Khao","Union Square","San Francisco","2006","None"
"Kinjo","Russian Hill","San Francisco","2006","None"
"Kusakabe","Financial District","San Francisco","2006","None"
"La Costanera","Montara","San Francisco","2006","None"
"La Folie","Russian Hill","San Francisco","2006","None"
"La Toque","Rutherford","San Francisco","2006","None"
"Lazy Bear","Mission","San Francisco","2006","None"
"Lord Stanley","Nob Hill","San Francisco","2006","None"
"Luce","SoMa","San Francisco","2006","None"
"Madera","Menlo Park","San Francisco","2006","None"
"Madrona Manor","Healdsburg","San Francisco","2006","None"
"Manresa","Los Gatos","San Francisco","2006","None"
"Martini House","St. Helena","San Francisco","2006","None"
"Maruya","Mission","San Francisco","2006","None"
"Masa's","Nob Hill","San Francisco","2006","None"
"Michael Mina","Financial District","San Francisco","2006","None"
"Mirepoix","Windsor","San Francisco","2006","None"
"Mister Jiu’s","Chinatown","San Francisco","2006","None"
"Mosu","Fillmore","San Francisco","2006","None"
"Mourad","SoMa","San Francisco","2006","None"
"Murray Circle","Sausalito","San Francisco","2006","None"
"Nico","Pacific Heights","San Francisco","2006","None"
"Octavia","Lower Pacific Heights","San Francisco","2006","None"
"Omakase","SoMa","San Francisco","2006","None"
"One Market","SoMa","San Francisco","2006","None"
"Plumed Horse","Saratoga","San Francisco","2006","None"
"Quince","Jackson Square","San Francisco","2006","None"
"Range","Mission","San Francisco","2006","None"
"Rasa","Burlingame","San Francisco","2006","None"
"Redd","Yountville","San Francisco","2006","None"
"Rich Table","Hayes Valley","San Francisco","2006","None"
"Rubicon","Financial District","San Francisco","2006","None"
"Saison","SoMa","San Francisco","2006","None"
"Sante","Sonoma","San Francisco","2006","None"
"SingleThread Farms","Healdsburg","San Francisco","2006","None"
"Solbar","Calistoga","San Francisco","2006","None"
"Sons & Daughters","Nob Hill","San Francisco","2006","None"
"SPQR","Fillmore","San Francisco","2006","None"
"Spruce","Presidio Heights","San Francisco","2006","None"
"State Bird Provisions","Fillmore","San Francisco","2006","None"
"Sushi Ran","Sausalito","San Francisco","2006","None"
"Sushi Yoshizumi","San Mateo","San Francisco","2006","None"
"Terra","St. Helena","San Francisco","2006","None"
"Terrapin Creek","Bodega Bay","San Francisco","2006","None"
"The Dining Room at the Ritz-Carlton","Nob Hill","San Francisco","2006","None"
"The French Laundry","Yountville","San Francisco","2006","None"
"The Progress","Fillmore","San Francisco","2006","None"
"The Restaurant at Meadowood","St. Helena","San Francisco","2006","None"
"The Village Pub","Woodside","San Francisco","2006","None"
"Trevese","Los Gatos","San Francisco","2006","None"
"Ubuntu","Napa","San Francisco","2006","None"
"Wako","Richmond","San Francisco","2006","None"
"Wakuriya","San Mateo","San Francisco","2006","None"
"42 Grams","Uptown","Chicago","2006","None"
"Acadia","South Loop","Chicago","2006","None"
"Alinea","Lincoln Park","Chicago","2006","None"
"Avenues","Magnificent Mile","Chicago","2006","None"
"Band of Bohemia","Ravenswood","Chicago","2006","None"
"Blackbird","West Loop","Chicago","2006","None"
"Boka","Lincoln Park","Chicago","2006","None"
"Bonsoirée","Logan Square","Chicago","2006","None"
"Charlie Trotter's","Lincoln Park","Chicago","2006","None"
"Crofton on Wells","River North","Chicago","2006","None"
"Courtright's","Willow Springs","Chicago","2006","None"
"Dusek's","Pilsen","Chicago","2006","None"
"El Ideas","Douglas Park","Chicago","2006","None"
"Elizabeth","Ravenswood","Chicago","2006","None"
"Elske","West Loop","Chicago","2006","None"
"Entente","Lakeview","Chicago","2006","None"
"Everest","Loop","Chicago","2006","None"
"Goosefoot","Ravenswood","Chicago","2006","None"
"Grace","West Loop","Chicago","2006","None"
"Graham Elliot","River North","Chicago","2006","None"
"GreenRiver","Streeterville","Chicago","2006","None"
"L2O","Lincoln Park","Chicago","2006","None"
"Longman & Eagle","Logan Square","Chicago","2006","None"
"Mexique","West Town","Chicago","2006","None"
"Moto","Fulton Market","Chicago","2006","None"
"NAHA","River North","Chicago","2006","None"
"NoMI","Magnificent Mile","Chicago","2006","None"
"North Pond","Lincoln Park","Chicago","2006","None"
"Oriole","West Loop","Chicago","2006","None"
"Parachute","Avondale","Chicago","2006","None"
"RIA","Gold Coast","Chicago","2006","None"
"Roister","Fulton Market","Chicago","2006","None"
"Schwa","West Town","Chicago","2006","None"
"Seasons","Magnificent Mile","Chicago","2006","None"
"Senza","Lakeview East","Chicago","2006","None"
"Sepia","West Loop","Chicago","2006","None"
"Sixteen","River North","Chicago","2006","None"
"Smyth","West Loop","Chicago","2006","None"
"Spiaggia","Magnificent Mile","Chicago","2006","None"
"Takashi","Bucktown","Chicago","2006","None"
"Topolobampo","River North","Chicago","2006","None"
"The Lobby","Magnificent Mile","Chicago","2006","None"
"Tru","Streeterville","Chicago","2006","None"
"Vie","Western Springs","Chicago","2006","None"
"Blue Duck Tavern","West End","DC","2006","None"
"Fiola by Fabio Trabocchi","Penn Quarter","DC","2006","None"
"Kinship","Mount Vernon Square","DC","2006","None"
"Komi","Dupont Circle","DC","2006","None"
"Masseria","Union Market","DC","2006","None"
"Métier","Mount Vernon Square","DC","2006","None"
"Minibar by José Andrés","Penn Quarter","DC","2006","None"
"Pineapple & Pearls","Eastern Market","DC","2006","None"
"Plume","Downtown","DC","2006","None"
"Rose's Luxury","Eastern Market","DC","2006","None"
"Sushi Taro","Dupont Circle","DC","2006","None"
"Tail Up Goat","Adams Morgan","DC","2006","None"
"The Dabney","Mount Vernon Square","DC","2006","None"
"The Inn at Little Washington","Washington, Virginia","DC","2006","None"
"15 East","Manhattan","New York","2007",""
"A Voce Columbus","Manhattan","New York","2007","1"
"A Voce Madison","Manhattan","New York","2007",""
"Adour","Manhattan","New York","2007",""
"Agern","Manhattan","New York","2007",""
"Ai Fiori","Manhattan","New York","2007",""
"Alain Ducasse at the Essex House","Manhattan","New York","2007","Closed[18]"
"Aldea","Manhattan","New York","2007",""
"Allen & Delancey","Manhattan","New York","2007",""
"Alto","Manhattan","New York","2007",""
"Andanada","Manhattan","New York","2007",""
"Annisa","Manhattan","New York","2007","1"
"Anthos","Manhattan","New York","2007",""
"L'Appart","Manhattan","New York","2007",""
"Aquavit","Manhattan","New York","2007",""
"Aska","Brooklyn","New York","2007",""
"L'Atelier de Joël Robuchon","Manhattan","New York","2007",""
"Atera","Manhattan","New York","2007",""
"Aureole","Manhattan","New York","2007","1"
"Babbo","Manhattan","New York","2007","1"
"Bar Uchū","Manhattan","New York","2007",""
"Bâtard","Manhattan","New York","2007",""
"Le Bernardin","Manhattan","New York","2007","3"
"Betony","Manhattan","New York","2007",""
"Blanca","Brooklyn","New York","2007",""
"BLT Fish","Manhattan","New York","2007",""
"Blue Hill","Manhattan","New York","2007",""
"Bouley","Manhattan","New York","2007","2"
"The Breslin","Manhattan","New York","2007",""
"Brushstroke","Manhattan","New York","2007",""
"Café Boulud","Manhattan","New York","2007","1"
"Café China","Manhattan","New York","2007",""
"Café Gray","Manhattan","New York","2007","1"
"Cagen","Manhattan","New York","2007",""
"Carbone","Manhattan","New York","2007",""
"Casa Enrique","Queens","New York","2007",""
"Casa Mono","Manhattan","New York","2007",""
"Caviar Russe","Manhattan","New York","2007",""
"Chef's Table at Brooklyn Fare","Manhattan","New York","2007",""
"The Clocktower (restaurant)","Manhattan","New York","2007",""
"Contra","Manhattan","New York","2007",""
"Convivio","Manhattan","New York","2007",""
"Corton","Manhattan","New York","2007",""
"Cote (restaurant)","Manhattan","New York","2007",""
"Country","Manhattan","New York","2007","1"
"Craft","Manhattan","New York","2007","1"
"Cru","Manhattan","New York","2007","1"
"Daniel","Manhattan","New York","2007","2"
"Danji","Manhattan","New York","2007",""
"Danny Brown Wine Bar & Kitchen","Queens","New York","2007",""
"Danube","Manhattan","New York","2007","1"
"Del Posto","Manhattan","New York","2007","2"
"Delaware & Hudson","Brooklyn","New York","2007",""
"Devi","Manhattan","New York","2007","1"
"Dovetail","Manhattan","New York","2007",""
"Dressler","Brooklyn","New York","2007",""
"Eighty-One","Manhattan","New York","2007",""
"Eleven Madison Park","Manhattan","New York","2007",""
"Etats-Unis","Manhattan","New York","2007","1"
"Faro","Brooklyn","New York","2007",""
"Fiamma Osteria","Manhattan","New York","2007","1"
"The Finch","Brooklyn","New York","2007",""
"Fleur de Sel","Manhattan","New York","2007","1"
"Gabriel Kreuther","Manhattan","New York","2007",""
"Gilt","Manhattan","New York","2007",""
"Gordon Ramsay at The London","Manhattan","New York","2007",""
"Gotham Bar and Grill","Manhattan","New York","2007","1"
"La Goulue","Manhattan","New York","2007","1"
"Gramercy Tavern","Manhattan","New York","2007","1"
"Gunter Seeger","Manhattan","New York","2007",""
"Hakkasan","Manhattan","New York","2007",""
"Heartbreak","Manhattan","New York","2007",""
"Hirohisa","Manhattan","New York","2007",""
"Ichimura at Brushstroke","Manhattan","New York","2007",""
"Insieme","Manhattan","New York","2007",""
"Jean-Georges","Manhattan","New York","2007","3"
"Jewel Bako","Manhattan","New York","2007","1"
"JoJo","Manhattan","New York","2007",""
"Jungsik","Manhattan","New York","2007",""
"Juni","Manhattan","New York","2007",""
"Junoon","Manhattan","New York","2007",""
"Kajitsu","Manhattan","New York","2007",""
"Kanoyama","Manhattan","New York","2007",""
"Kurumazushi","Manhattan","New York","2007","1"
"Kyo Ya","Manhattan","New York","2007",""
"Lan Sheng","Manhattan","New York","2007",""
"Laut","Manhattan","New York","2007",""
"Lever House","Manhattan","New York","2007","1"
"Lincoln","Manhattan","New York","2007",""
"Lo Scalco","Manhattan","New York","2007",""
"Luksus at Torst","Brooklyn","New York","2007",""
"M. Wells Steakhouse","Queens","New York","2007",""
"Marc Forgione","Manhattan","New York","2007",""
"March","Manhattan","New York","2007",""
"Marea","Manhattan","New York","2007",""
"Masa","Manhattan","New York","2007","2"
"Meadowsweet","Brooklyn","New York","2007",""
"Minetta Tavern","Manhattan","New York","2007",""
"The Modern","Manhattan","New York","2007","1"
"Momofuku Ko","Manhattan","New York","2007",""
"The Musket Room","Manhattan","New York","2007",""
"Nix","Manhattan","New York","2007",""
"Nobu","Manhattan","New York","2007",""
"The NoMad","Manhattan","New York","2007",""
"Oceana","Manhattan","New York","2007","1"
"Per Se","Manhattan","New York","2007","3"
"Perry Street","Manhattan","New York","2007","1"
"Peter Luger Steak House","Brooklyn","New York","2007","1"
"Picholine","Manhattan","New York","2007","1"
"Piora","Manhattan","New York","2007",""
"Pok Pok NY","Brooklyn","New York","2007",""
"Public","Manhattan","New York","2007",""
"Rebelle","Manhattan","New York","2007",""
"Le Restaurant","Manhattan","New York","2007",""
"Rhong-Tiam","Manhattan","New York","2007",""
"The River Café","Brooklyn","New York","2007",""
"Rosanjin","Manhattan","New York","2007",""
"Rouge Tomate","Manhattan","New York","2007",""
"Satsuki (restaurant)","Manhattan","New York","2007",""
"Saul","Brooklyn","New York","2007","1"
"Scalini Fedeli","Manhattan","New York","2007",""
"Seäsonal","Manhattan","New York","2007",""
"Semilla","Brooklyn","New York","2007",""
"Shalezeh","Manhattan","New York","2007",""
"SHO Shaun Hergatt","Manhattan","New York","2007",""
"La Sirena","Manhattan","New York","2007",""
"Somtum Der","Manhattan","New York","2007",""
"Soto","Manhattan","New York","2007",""
"The Spotted Pig","Manhattan","New York","2007","1"
"Sushi Amane","Manhattan","New York","2007",""
"Sushi Azabu","Manhattan","New York","2007",""
"Sushi Ginza Onodera","Manhattan","New York","2007",""
"Sushi Inoue","Manhattan","New York","2007",""
"Sushi of Gari","Manhattan","New York","2007","1"
"Sushi Yasuda","Manhattan","New York","2007",""
"Sushi Zo","Manhattan","New York","2007",""
"Take Root","Brooklyn","New York","2007",""
"Tamarind Tribeca","Manhattan","New York","2007",""
"Telepan","Manhattan","New York","2007",""
"Tempura Matsui","Manhattan","New York","2007",""
"Tori Shin","Manhattan","New York","2007",""
"Torrisi Italian Specialities","Manhattan","New York","2007",""
"Tulsi","Manhattan","New York","2007",""
"Uncle Boons","Manhattan","New York","2007",""
"Ushiwakamaru","Manhattan","New York","2007",""
"La Vara","Brooklyn","New York","2007",""
"Veritas","Manhattan","New York","2007","1"
"Vong","Manhattan","New York","2007","1"
"Wallsé","Manhattan","New York","2007","1"
"wd~50","Manhattan","New York","2007","1"
"Zabb Elee","Queens","New York","2007",""
"ZZ's Clam Bar","Manhattan","New York","2007",""
"Acquerello","Nob Hill","San Francisco","2007","1"
"Adega","San Jose","San Francisco","2007",""
"Alexander’s Steakhouse","Cupertino","San Francisco","2007",""
"All Spice","San Mateo","San Francisco","2007",""
"Al's Place","Mission","San Francisco","2007",""
"Ame","SoMa","San Francisco","2007",""
"Applewood","Guerneville","San Francisco","2007",""
"Aster","Mission","San Francisco","2007",""
"Atelier Crenn","Cow Hollow","San Francisco","2007",""
"Aqua","Financial District","San Francisco","2007","2"
"Auberge du Soleil","Rutherford","San Francisco","2007","1"
"Aziza","Richmond","San Francisco","2007",""
"Baumé","Palo Alto","San Francisco","2007",""
"Benu","SoMa","San Francisco","2007",""
"Bistro Jeanty","Yountville","San Francisco","2007","1"
"Bouchon","Yountville","San Francisco","2007","1"
"Boulevard","SoMa","San Francisco","2007","1"
"Bushi-Tei","Japantown","San Francisco","2007","1"
"Californios","Mission","San Francisco","2007",""
"Campton Place","Union Square","San Francisco","2007",""
"Chez Panisse","Berkeley","San Francisco","2007","1"
"Chez TJ","Mountain View","San Francisco","2007","1"
"Coi","North Beach","San Francisco","2007",""
"Commis","Oakland","San Francisco","2007",""
"Commonwealth","Mission","San Francisco","2007",""
"Cortez","Financial District","San Francisco","2007",""
"Cyrus","Healdsburg","San Francisco","2007","2"
"Dio Deka","Los Gatos","San Francisco","2007",""
"Dry Creek Kitchen","Healdsburg","San Francisco","2007","1"
"El Paseo","Mill Valley","San Francisco","2007",""
"Etoile","Yountville","San Francisco","2007",""
"Farmhouse Inn & Restaurant","Forestville","San Francisco","2007","1"
"Fifth Floor","SoMa","San Francisco","2007","1"
"Fleur de Lys","Financial District","San Francisco","2007","1"
"Frances","Castro","San Francisco","2007",""
"Gary Danko","North Beach","San Francisco","2007","1"
"Hashiri","SoMa","San Francisco","2007",""
"In Situ","SoMa","San Francisco","2007",""
"Jū-Ni","North Panhandle","San Francisco","2007",""
"K&L Bistro","Sebastopol","San Francisco","2007","1"
"Keiko à Nob Hill","Nob Hill","San Francisco","2007",""
"Kenzo","Napa","San Francisco","2007",""
"Kin Khao","Union Square","San Francisco","2007",""
"Kinjo","Russian Hill","San Francisco","2007",""
"Kusakabe","Financial District","San Francisco","2007",""
"La Costanera","Montara","San Francisco","2007",""
"La Folie","Russian Hill","San Francisco","2007","1"
"La Toque","Rutherford","San Francisco","2007",""
"Lazy Bear","Mission","San Francisco","2007",""
"Lord Stanley","Nob Hill","San Francisco","2007",""
"Luce","SoMa","San Francisco","2007",""
"Madera","Menlo Park","San Francisco","2007",""
"Madrona Manor","Healdsburg","San Francisco","2007",""
"Manresa","Los Gatos","San Francisco","2007","2"
"Martini House","St. Helena","San Francisco","2007",""
"Maruya","Mission","San Francisco","2007",""
"Masa's","Nob Hill","San Francisco","2007","1"
"Michael Mina","Financial District","San Francisco","2007","2"
"Mirepoix","Windsor","San Francisco","2007",""
"Mister Jiu’s","Chinatown","San Francisco","2007",""
"Mosu","Fillmore","San Francisco","2007",""
"Mourad","SoMa","San Francisco","2007",""
"Murray Circle","Sausalito","San Francisco","2007",""
"Nico","Pacific Heights","San Francisco","2007",""
"Octavia","Lower Pacific Heights","San Francisco","2007",""
"Omakase","SoMa","San Francisco","2007",""
"One Market","SoMa","San Francisco","2007",""
"Plumed Horse","Saratoga","San Francisco","2007",""
"Quince","Jackson Square","San Francisco","2007","1"
"Range","Mission","San Francisco","2007","1"
"Rasa","Burlingame","San Francisco","2007",""
"Redd","Yountville","San Francisco","2007",""
"Rich Table","Hayes Valley","San Francisco","2007",""
"Rubicon","Financial District","San Francisco","2007","1"
"Saison","SoMa","San Francisco","2007",""
"Sante","Sonoma","San Francisco","2007",""
"SingleThread Farms","Healdsburg","San Francisco","2007",""
"Solbar","Calistoga","San Francisco","2007",""
"Sons & Daughters","Nob Hill","San Francisco","2007",""
"SPQR","Fillmore","San Francisco","2007",""
"Spruce","Presidio Heights","San Francisco","2007",""
"State Bird Provisions","Fillmore","San Francisco","2007",""
"Sushi Ran","Sausalito","San Francisco","2007","1"
"Sushi Yoshizumi","San Mateo","San Francisco","2007",""
"Terra","St. Helena","San Francisco","2007",""
"Terrapin Creek","Bodega Bay","San Francisco","2007",""
"The Dining Room at the Ritz-Carlton","Nob Hill","San Francisco","2007","1"
"The French Laundry","Yountville","San Francisco","2007","3"
"The Progress","Fillmore","San Francisco","2007",""
"The Restaurant at Meadowood","St. Helena","San Francisco","2007",""
"The Village Pub","Woodside","San Francisco","2007",""
"Trevese","Los Gatos","San Francisco","2007",""
"Ubuntu","Napa","San Francisco","2007",""
"Wako","Richmond","San Francisco","2007",""
"Wakuriya","San Mateo","San Francisco","2007",""
"42 Grams","Uptown","Chicago","2007",""
"Acadia","South Loop","Chicago","2007",""
"Alinea","Lincoln Park","Chicago","2007",""
"Avenues","Magnificent Mile","Chicago","2007",""
"Band of Bohemia","Ravenswood","Chicago","2007",""
"Blackbird","West Loop","Chicago","2007",""
"Boka","Lincoln Park","Chicago","2007",""
"Bonsoirée","Logan Square","Chicago","2007",""
"Charlie Trotter's","Lincoln Park","Chicago","2007",""
"Crofton on Wells","River North","Chicago","2007",""
"Courtright's","Willow Springs","Chicago","2007",""
"Dusek's","Pilsen","Chicago","2007",""
"El Ideas","Douglas Park","Chicago","2007",""
"Elizabeth","Ravenswood","Chicago","2007",""
"Elske","West Loop","Chicago","2007",""
"Entente","Lakeview","Chicago","2007",""
"Everest","Loop","Chicago","2007",""
"Goosefoot","Ravenswood","Chicago","2007",""
"Grace","West Loop","Chicago","2007",""
"Graham Elliot","River North","Chicago","2007",""
"GreenRiver","Streeterville","Chicago","2007",""
"L2O","Lincoln Park","Chicago","2007",""
"Longman & Eagle","Logan Square","Chicago","2007",""
"Mexique","West Town","Chicago","2007",""
"Moto","Fulton Market","Chicago","2007",""
"NAHA","River North","Chicago","2007",""
"NoMI","Magnificent Mile","Chicago","2007",""
"North Pond","Lincoln Park","Chicago","2007",""
"Oriole","West Loop","Chicago","2007",""
"Parachute","Avondale","Chicago","2007",""
"RIA","Gold Coast","Chicago","2007",""
"Roister","Fulton Market","Chicago","2007",""
"Schwa","West Town","Chicago","2007",""
"Seasons","Magnificent Mile","Chicago","2007",""
"Senza","Lakeview East","Chicago","2007",""
"Sepia","West Loop","Chicago","2007",""
"Sixteen","River North","Chicago","2007",""
"Smyth","West Loop","Chicago","2007",""
